created_at,user.screen_name,user.name,favorite_count,retweet_count,legislator_state,keyword,label_drew,label_taegyoon,label_final,agreement
Thu Dec 17 17:15:00 +0000 2020,NancySkinnerCA,Nancy Skinner,0,0,California,deaths,0,0,0,1
Wed Sep 11 21:55:47 +0000 2019,sdduba,Linda Duba,0,26129,South_Dakota,deaths,0,0,0,1
Thu Oct 11 10:05:10 +0000 2018,kellyhastings1,Kelly Hastings,0,0,North_Carolina,deaths,0,0,0,1
Tue Mar 17 01:55:34 +0000 2020,collins_neal,Rep. Neal Collins,2,0,South_Carolina,deaths,0,0,0,1
Sun Oct 25 02:05:08 +0000 2020,d_ddunnn,David Dunn,0,861,Montana,deaths,0,0,0,1
Mon Apr 13 01:01:10 +0000 2020,AHammoudMI,Abdullah Hammoud,0,1026,Michigan,misinformation,0,0,0,1
Wed Nov 04 07:26:37 +0000 2020,MaryBorenSD16,Mary 🇺🇸 🗳 ✍🏻 🇺🇸,2,0,Oklahoma,misinformation,0,0,0,1
Thu Aug 06 02:06:40 +0000 2020,poncho_nevarez,Poncho Nevárez,0,10,Texas,misinformation,0,0,0,1
Fri Oct 30 11:52:28 +0000 2020,rosemarybayer,Senator Rosemary Bayer,0,186,Michigan,misinformation,0,0,0,1
Sun Jul 23 19:38:35 +0000 2017,whitmire_john,John Whitmire,0,10,Texas,misinformation,0,0,0,1
Wed Aug 19 23:18:09 +0000 2020,inhisfields,David Ralston,1,0,Georgia,misinformation,0,0,0,1
Tue Mar 24 19:30:29 +0000 2020,DanielRBenson,Dan Benson,0,7866,New_Jersey,misinformation,0,0,0,1
Sun Oct 25 17:07:12 +0000 2020,VoteGloriaJ,Gloria Johnson,0,0,Tennessee,misinformation,0,0,0,1
Tue Sep 15 16:02:39 +0000 2020,RepDuerr,Davina Duerr,0,28,Washington,misinformation,0,0,0,1
Tue Jan 26 00:46:17 +0000 2021,lizthomsonnm,Liz Thomson,0,6,New_Mexico,misinformation,0,0,0,1
Wed Sep 26 22:21:24 +0000 2018,sdduba,Linda Duba,0,0,South_Dakota,widely,0,0,0,1
Thu Nov 08 03:11:41 +0000 2018,SenSaraGelser,Sara Gelser,0,8204,Oregon,widely,0,0,0,1
Thu Feb 08 20:44:51 +0000 2018,SenatorSoules,William Soules,0,9,New_Mexico,widely,0,0,0,1
Tue Jan 12 23:24:46 +0000 2021,bobkressig,Bob Kressig,2,0,Iowa,widely,1,1,1,1
Tue Mar 31 10:29:33 +0000 2020,jeffroy,Jeffrey N. Roy,4,1,Massachusetts,widely,0,0,0,1
Thu Nov 26 05:39:31 +0000 2020,SenSaraGelser,Sara Gelser,0,8,Oregon,widely,0,0,0,1
Tue Oct 13 14:17:55 +0000 2020,ZachWahls,Zach Wahls,2,0,Iowa,widely,0,0,0,1
Wed Apr 08 02:36:29 +0000 2020,MaineSocialist,Rep. Mike🌹,0,0,Maine,widely,0,0,0,1
Fri May 24 21:31:18 +0000 2019,davepinto,Dave Pinto,44,17,Minnesota,widely,0,0,0,1
Wed Sep 16 19:00:58 +0000 2020,senatorjen,Jen Jordan,0,3129,Georgia,widely,1,1,1,1
Wed Jun 03 15:48:01 +0000 2015,AsmAutumnBurke,Autumn R. Burke,0,10,California,effective,0,0,0,1
Sat May 02 18:32:54 +0000 2020,BenHueso,Ben Hueso,0,4,California,effective,0,0,0,1
Thu Jul 25 23:50:48 +0000 2019,Rep_Jimmy,Jimmy Anderson,8,0,Wisconsin,effective,0,0,0,1
Thu Jun 23 18:45:17 +0000 2011,MarkNakashima,Mark Nakashima,0,1,Hawaii,effective,0,0,0,1
Thu Feb 04 22:18:19 +0000 2021,wardports,Gerald W.R. Ward,0,3142,New_Hampshire,effective,0,0,0,1
Thu May 16 02:18:44 +0000 2019,SenatorMcCray,Cory McCray,0,4,Maryland,effective,0,0,0,1
Thu May 14 06:25:59 +0000 2020,MelanieforNM,Melanie Stansbury,0,62,New_Mexico,effective,0,0,0,1
Thu Nov 05 16:10:48 +0000 2020,MonicaDuran24,Monica Duran,0,19,Colorado,effective,0,0,0,1
Fri May 22 23:24:50 +0000 2020,MichaelleSolage,Michaëlle Solages,3,2,New_York,effective,0,0,0,1
Fri Mar 06 13:53:34 +0000 2020,ltgovmcnally,Randy McNally,0,1,Tennessee,effective,0,0,0,1
Mon Apr 02 23:13:28 +0000 2018,KariDziedzic,Sen Kari Dziedzic,0,1,Minnesota,autism,0,0,0,1
Mon May 18 22:21:33 +0000 2015,HuntForNCHouse,Rachel Hunt,0,25,North_Carolina,autism,0,0,0,1
Tue Apr 02 11:24:51 +0000 2019,TRWhelan,Rep. Tim Whelan,17,7,Massachusetts,autism,0,0,0,1
Fri Feb 07 04:29:48 +0000 2014,Portantino,Anthony Portantino,0,40,California,autism,0,0,0,1
Thu Apr 02 12:12:10 +0000 2015,DewMac52,Dewey McClain,0,0,Georgia,autism,0,0,0,1
Wed Sep 20 01:02:56 +0000 2017,jonhoadley,Jon Hoadley,0,71404,Michigan,autism,0,0,0,1
Mon Apr 04 14:16:04 +0000 2016,AsmMontesano,Michael Montesano,1,2,New_York,autism,0,0,0,1
Fri Apr 06 20:10:47 +0000 2018,SenatorRobach,Senator Joe Robach,2,1,New_York,autism,0,0,0,1
Wed Aug 14 14:07:48 +0000 2019,TRWhelan,Rep. Tim Whelan,4,1,Massachusetts,autism,0,0,0,1
Fri Mar 30 23:47:18 +0000 2018,jimabeler,Jim Abeler,2,1,Minnesota,autism,0,0,0,1
